name,smiles,Tox-score,SAscore
TCM000461,CN/C1=N/CC#C[C@@H]2C[C@@H](C)[C@@]34C[C@](O)(C=O)C(C(=O)O)=C3C[C@@H]2[C@]42CC=CN1C2,0.3241408159446196,0.002166682927697019
TCM000462,CNC/C(=C\CCC(=O)O)CCCCCCCC[C@@H]1C=C(CCN)CC1,0.3574846722391065,0.0769202750222071
TCM000471,CCOC[C@H]1C[C@@]23C(=C1C(=O)O)C[C@@H](CC[C@H]2C)[C@@]31CN(C(=N)NC)C=C[C@@H]1CNC,0.30993107367225986,0.002785874418698646
TCM000477,CNC(=N)N1C=CC[C@@]2(C1)[C@@H]1CC[C@@H](C)[C@]23C[C@H](O)C(C(=O)O)=C3C1,0.3258189331823954,0.003396783895957565
TCM000483,COC[C@]1(O)C(C(=O)O)=C2C[C@H]3CC[C@H]4CCC[C@@]15c1cc[nH]c1C[C@]3(C)[C@]245,0.35109328060988787,0.004631004231298416
TCM000497,CN/C1=N/CC#C[C@@H]2C[C@@H](C)[C@@]34C[C@H](O)C(C(=O)O)=C3C[C@@H]2[C@@]4(C)CN1,0.3410456662522592,0.0011764850261574455
TCM000506,NCCC1=C[C@@H](CCCCCCCC/C=C/CCC(=O)O)CC1,0.3712400770251893,0.10012906337001548
TCM000508,C[C@]12Cc3[nH]ccc3[C@]34C=CC[C@@H]5CC[C@@H]1CC(=C(C(=O)O)[C@@H]3O)[C@]524,0.3601362902333828,0.004412814602077873
TCM000515,COC[C@@]1(O)C[C@@]23C(=C1C(=O)O)C[C@@H](CC[C@H]2C)C3(C)C,0.43434426249271474,0.009063335182405822
TCM000519,C[C@@H]1CC[C@@H]2CC3=C(C(=O)O)[C@@](O)(C=O)C[C@@]31C2(C)C,0.46996039479168056,0.007819860048239008
TCM000523,CCOC[C@H]1C[C@@]23C(=C1C(=O)O)C[C@@H](CC[C@H]2C)[C@@]3(C)CNC(=N)NC,0.3965125031162683,0.005821113448886909
TCM000524,CNCC[C@@]1(CNC(=N)NC)[C@@H]2CC[C@@H](C)[C@]13CCC(C(=O)O)=C3C2,0.36502844579287075,0.005691076161663317
TCM000534,CNC(=N)NC[C@]1(C)[C@H]2CC3=C(C(=O)O)CC[C@]31[C@H](C)C[C@@H]2Cc1ccccc1,0.2982526668019935,0.007741824026765928
TCM000538,C[C@@H]1C[C@H](Cc2ccccc2)[C@@H]2CC3=C(C(=O)O)[C@@H](C=O)C[C@@]31C2(C)C,0.3735671142955123,0.010260456448568411
TCM000557,CCNC[C@]1(C)[C@@H]2CC[C@@H](C)[C@]13CCC(C(=O)O)=C3C2,0.38831249400120377,0.009429766290481041
TCM000559,C[C@@H]1CC[C@@H]2CC3=C(C(=O)O)CC[C@@]31[C@]2(C)C1CCCC1,0.4431216996874827,0.010884796234863214
TCM000654,C[C@@H]1[C@]2(CO)CC[C@@H]3C4=C5CCC[C@]6(CCNC(N)=N6)CSSCC[C@@](C)([C@@H]3C2)[C@]41CC5=O,0.38360962642913027,0.044180792296465494
TCM000667,C[C@@H]1CC[C@@H]2CC3=C4CCC[C@]5(CSSCC[C@]2(C)[C@]31CC4=O)N=C(N)NC[C@H]5Cc1ccccc1,0.283810471484437,0.0015742373636525935
TCM000671,C[C@]12CCSSC[C@@H](N=C(N)N)CCCC3=C4C[C@H]1C[C@H](CO)[C@@H](C1CCCC1)[C@@]42CC3=O,0.3573351418784685,0.001976553629822451
TCM000673,CC[C@@H](C/C=C/CCC(=O)O)CCCCCC[C@@H]1C=C(CO)CC1,0.4083421265061656,0.06457367669767289
TCM000691,C[C@@H]1[C@@H](CO)C[C@@H]2CC3=C(CCC[C@H]4CCNC(N)=N4)C(=O)C[C@@]31C2(C)C,0.4009717236852776,0.005167362842697506
TCM000696,CC1(C)[C@H]2CC3=C(CCCCN=C(N)N)C(=O)C[C@]31[C@H](CCCO)[C@@H](CO)C2,0.4116510872786395,0.008566312719817773
